Time,0-sgen-0-16.p_mw,0-sgen-12-39.p_mw,0-sgen-14-43.p_mw,0-sgen-3-22.p_mw,0-sgen-4-23.p_mw
1483225200000,4.722571349234925,4.722571349234925,9.44514269846985,4.722571349234925,4.722571349234925
1483226100000,4.66784956508222,4.66784956508222,9.33569913016444,4.66784956508222,4.66784956508222
1483227000000,4.61727633986164,4.61727633986164,9.23455267972328,4.61727633986164,4.61727633986164
1483227900000,4.610420754884937,4.610420754884937,9.220841509769874,4.610420754884937,4.610420754884937
1483228800000,2.453957306711698,2.453957306711698,4.907914613423396,2.453957306711698,2.453957306711698
1483229700000,2.551526496968795,2.551526496968795,5.103052993937591,2.551526496968795,2.551526496968795
1483230600000,2.665341164997722,2.665341164997722,5.330682329995443,2.665341164997722,2.665341164997722
1483231500000,2.728712146475685,2.728712146475685,5.45742429295137,2.728712146475685,2.728712146475685
1483232400000,2.762943570298311,2.762943570298311,5.525887140596622,2.762943570298311,2.762943570298311
1483233300000,2.825059023132285,2.825059023132285,5.650118046264571,2.825059023132285,2.825059023132285
1483234200000,2.915948668143186,2.915948668143186,5.831897336286373,2.915948668143186,2.915948668143186
1483235100000,2.996106532601894,2.996106532601894,5.992213065203788,2.996106532601894,2.996106532601894
1483236000000,3.132534002240023,3.132534002240023,6.265068004480045,3.132534002240023,3.132534002240023
1483236900000,3.125704989298113,3.125704989298113,6.251409978596226,3.125704989298113,3.125704989298113
1483237800000,3.044656961673826,3.044656961673826,6.089313923347651,3.044656961673826,3.044656961673826
1483238700000,3.062194504637484,3.062194504637484,6.124389009274968,3.062194504637484,3.062194504637484
1483239600000,3.140768011521635,3.140768011521635,6.28153602304327,3.140768011521635,3.140768011521635
1483240500000,3.22513422199075,3.22513422199075,6.450268443981501,3.22513422199075,3.22513422199075
1483241400000,3.258515340699987,3.258515340699987,6.517030681399975,3.258515340699987,3.258515340699987
1483242300000,3.264048966945718,3.264048966945718,6.528097933891435,3.264048966945718,3.264048966945718
1483243200000,3.351852934416233,3.351852934416233,6.703705868832466,3.351852934416233,3.351852934416233
1483244100000,3.436890088763882,3.436890088763882,6.873780177527764,3.436890088763882,3.436890088763882
1483245000000,3.501639494546754,3.501639494546754,7.003278989093508,3.501639494546754,3.501639494546754
1483245900000,3.548715175687651,3.548715175687651,7.097430351375302,3.548715175687651,3.548715175687651
1483246800000,3.672706933042459,3.672706933042459,7.345413866084917,3.672706933042459,3.672706933042459
1483247700000,3.740013897174197,3.740013897174197,7.480027794348394,3.740013897174197,3.740013897174197
1483248600000,3.782094035773931,3.782094035773931,7.564188071547862,3.782094035773931,3.782094035773931
1483249500000,3.820367730389506,3.820367730389506,7.640735460779012,3.820367730389506,3.820367730389506
1483250400000,3.918508219394662,3.918508219394662,7.837016438789325,3.918508219394662,3.918508219394662
1483251300000,4.038583923121789,4.038583923121789,8.077167846243578,4.038583923121789,4.038583923121789
1483252200000,4.095069426083906,4.095069426083906,8.190138852167813,4.095069426083906,4.095069426083906
1483253100000,4.119147011111097,4.119147011111097,8.238294022222194,4.119147011111097,4.119147011111097
1483254000000,4.131439898707403,4.131439898707403,8.262879797414806,4.131439898707403,4.131439898707403
1483254900000,4.1449883149477,4.1449883149477,8.2899766298954,4.1449883149477,4.1449883149477
1483255800000,4.150694659419587,4.150694659419587,8.301389318839174,4.150694659419587,4.150694659419587
1483256700000,4.150820876584856,4.150820876584856,8.301641753169712,4.150820876584856,4.150820876584856
1483257600000,4.193854286932804,4.193854286932804,8.387708573865607,4.193854286932804,4.193854286932804
1483258500000,4.211710694313983,4.211710694313983,8.423421388627967,4.211710694313983,4.211710694313983
1483259400000,4.241810166726233,4.241810166726233,8.483620333452466,4.241810166726233,4.241810166726233
1483260300000,4.294851269678253,4.294851269678253,8.589702539356505,4.294851269678253,4.294851269678253
1483261200000,4.319071679392457,4.319071679392457,8.638143358784914,4.319071679392457,4.319071679392457
1483262100000,4.375716614563335,4.375716614563335,8.75143322912667,4.375716614563335,4.375716614563335
1483263000000,4.358531151060689,4.358531151060689,8.717062302121379,4.358531151060689,4.358531151060689
1483263900000,4.341727660558199,4.341727660558199,8.683455321116398,4.341727660558199,4.341727660558199
1483264800000,4.339658363348661,4.339658363348661,8.679316726697323,4.339658363348661,4.339658363348661
1483265700000,4.356275849607598,4.356275849607598,8.712551699215195,4.356275849607598,4.356275849607598
1483266600000,4.357953209303933,4.357953209303933,8.715906418607865,4.357953209303933,4.357953209303933
