Time,0-sgen-14-43.p_mw,0-sgen-4-23.p_mw,0-sgen-12-39.p_mw,0-sgen-0-16.p_mw,0-sgen-3-22.p_mw
1500591600000,1.986027095503879,0.99301354775194,0.99301354775194,0.99301354775194,0.99301354775194
1500592500000,1.65149182046339,0.825745910231695,0.825745910231695,0.825745910231695,0.825745910231695
1500593400000,1.213923480511405,0.606961740255703,0.606961740255703,0.606961740255703,0.606961740255703
1500594300000,0.782719142892446,0.391359571446223,0.391359571446223,0.391359571446223,0.391359571446223
1500595200000,0.633709814779632,0.316854907389816,0.316854907389816,0.316854907389816,0.316854907389816
1500596100000,0.518686119167604,0.259343059583802,0.259343059583802,0.259343059583802,0.259343059583802
1500597000000,0.477805043637924,0.238902521818962,0.238902521818962,0.238902521818962,0.238902521818962
1500597900000,0.535991156826821,0.26799557841341,0.26799557841341,0.26799557841341,0.26799557841341
1500598800000,0.633032227892399,0.3165161139462,0.3165161139462,0.3165161139462,0.3165161139462
1500599700000,0.823859295761362,0.411929647880681,0.411929647880681,0.411929647880681,0.411929647880681
1500600600000,0.960306694425586,0.480153347212793,0.480153347212793,0.480153347212793,0.480153347212793
1500601500000,1.134466453470374,0.567233226735187,0.567233226735187,0.567233226735187,0.567233226735187
1500602400000,1.218487227487176,0.609243613743588,0.609243613743588,0.609243613743588,0.609243613743588
1500603300000,1.381732523240566,0.690866261620283,0.690866261620283,0.690866261620283,0.690866261620283
1500604200000,1.45366302142636,0.72683151071318,0.72683151071318,0.72683151071318,0.72683151071318
1500605100000,1.498443543061975,0.749221771530988,0.749221771530988,0.749221771530988,0.749221771530988
1500606000000,1.549103127395635,0.774551563697818,0.774551563697818,0.774551563697818,0.774551563697818
1500606900000,1.559479506982466,0.779739753491233,0.779739753491233,0.779739753491233,0.779739753491233
1500607800000,1.653577725194673,0.826788862597337,0.826788862597337,0.826788862597337,0.826788862597337
1500608700000,1.650820876584856,0.825410438292428,0.825410438292428,0.825410438292428,0.825410438292428
1500609600000,1.674456701533605,0.837228350766803,0.837228350766803,0.837228350766803,0.837228350766803
1500610500000,1.807735385048714,0.903867692524357,0.903867692524357,0.903867692524357,0.903867692524357
1500611400000,1.914043453248498,0.957021726624249,0.957021726624249,0.957021726624249,0.957021726624249
1500612300000,1.97883271708356,0.98941635854178,0.98941635854178,0.98941635854178,0.98941635854178
1500613200000,2.023487021553906,1.011743510776953,1.011743510776953,1.011743510776953,1.011743510776953
1500614100000,2.005710330277107,1.002855165138553,1.002855165138553,1.002855165138553,1.002855165138553
1500615000000,1.994364071420315,0.997182035710158,0.997182035710158,0.997182035710158,0.997182035710158
1500615900000,1.944528220165251,0.972264110082626,0.972264110082626,0.972264110082626,0.972264110082626
1500616800000,1.884196415166786,0.942098207583393,0.942098207583393,0.942098207583393,0.942098207583393
1500617700000,1.77583565727921,0.887917828639605,0.887917828639605,0.887917828639605,0.887917828639605
1500618600000,1.653305361838041,0.82665268091902,0.82665268091902,0.82665268091902,0.82665268091902
1500619500000,1.577528561615898,0.788764280807949,0.788764280807949,0.788764280807949,0.788764280807949
1500620400000,1.548538471656275,0.774269235828138,0.774269235828138,0.774269235828138,0.774269235828138
1500621300000,1.563412168131893,0.781706084065946,0.781706084065946,0.781706084065946,0.781706084065946
1500622200000,1.576385964119782,0.788192982059891,0.788192982059891,0.788192982059891,0.788192982059891
1500623100000,1.614530120065739,0.80726506003287,0.80726506003287,0.80726506003287,0.80726506003287
1500624000000,1.556337363868144,0.778168681934072,0.778168681934072,0.778168681934072,0.778168681934072
1500624900000,1.561386050478895,0.780693025239447,0.780693025239447,0.780693025239447,0.780693025239447
1500625800000,1.562708009209867,0.781354004604934,0.781354004604934,0.781354004604934,0.781354004604934
